original_smiles,augmented_smiles,augmentation_type,scaffold,split
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,N([C@]1(CC(C)C)CCN([C@@H](CCc2ccccc2)C(N[C@H]([C@@H]([C@@H]2[NH2+]C[C@H](OCCC)C2)O)Cc2cc(F)cc(c2)F)=O)C1=O)C(C)=O,random_smiles,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,C(C)CO[C@@H]1C[C@@H]([NH2+]C1)[C@@H](O)[C@@H](NC([C@@H](N1CC[C@@](C1=O)(CC(C)C)NC(=O)C)CCc1ccccc1)=O)Cc1cc(cc(F)c1)F,random_smiles,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,c1(F)cc(cc(c1)C[C@H](NC(=O)[C@@H](N1C([C@](CC1)(CC(C)C)NC(=O)C)=O)CCc1ccccc1)[C@@H]([C@@H]1[NH2+]C[C@H](OCCC)C1)O)F,random_smiles,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,[C@@H]([C@@H]([C@H]1C[C@H](C[NH2+]1)OCCC)O)(Cc1cc(F)cc(F)c1)NC(=O)[C@H](CCc1ccccc1)N1CC[C@@](CC(C)C)(NC(C)=O)C1=O,random_smiles,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,C=C(O)N[C@]1(CC(C)C)CCN(C(CCc2ccccc2)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCCC)C[NH2+]2)C1=O,tautomer,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,C=C(O)N[C@]1(CC(C)C)CCN(C(CCc2ccccc2)C(O)=N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCCC)C[NH2+]2)C1=O,tautomer,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,C=C(O)N[C@]1(CC(C)C)CCN(C(CCc2ccccc2)=C(O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCCC)C[NH2+]2)C1=O,tautomer,O=C(N[C@@H](Cc1ccccc1)C[C@H]1CCC[NH2+]1)[C@H](CCc1ccccc1)N1CCCC1=O,test
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,original,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,c1(cccc(c1)C[NH2+]C[C@@H](O)[C@@H](NC(c1cc2c3c(c(CC)cn3CCS(=O)(=O)N2C)c1)=O)Cc1ccccc1)OC,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,c12N(S(CCn3cc(c(cc(c2)C(N[C@@H](Cc2ccccc2)[C@@H](C[NH2+]Cc2cc(ccc2)OC)O)=O)c31)CC)(=O)=O)C,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,C1S(N(C)c2cc(C(=O)N[C@@H](Cc3ccccc3)[C@@H](C[NH2+]Cc3cccc(OC)c3)O)cc3c(cn(c32)C1)CC)(=O)=O,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,c1ccc(cc1C[NH2+]C[C@@H](O)[C@@H](NC(c1cc2N(S(=O)(=O)CCn3cc(CC)c(c1)c32)C)=O)Cc1ccccc1)OC,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,c1c(OC)cccc1C[NH2+]C[C@H]([C@H](Cc1ccccc1)NC(c1cc2c(cn3CCS(=O)(N(C)c(c23)c1)=O)CC)=O)O,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2,tautomer,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,CCc1cn2c3c(cc(C(O)=N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(OC)c4)cc13)N(C)S(=O)(=O)CC2,tautomer,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,original,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,C([C@@H](Oc1cc(C[C@@H]2CS(=O)(C[C@@H]([C@H]2O)[NH2+]Cc2cc(C(C)(C)C)ccc2)=O)cc(F)c1N)C(F)(F)F)OCC,random_smiles,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,[C@@H]1([C@@H]([C@H](CS(=O)(C1)=O)[NH2+]Cc1cc(ccc1)C(C)(C)C)O)Cc1cc(c(c(F)c1)N)O[C@@H](C(F)(F)F)COCC,random_smiles,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,c1(C[NH2+][C@H]2CS(=O)(=O)C[C@@H](Cc3cc(O[C@H](COCC)C(F)(F)F)c(N)c(c3)F)[C@@H]2O)cc(C(C)(C)C)ccc1,random_smiles,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,[C@@H]1([C@@H](CS(=O)(C[C@@H]1[NH2+]Cc1cc(ccc1)C(C)(C)C)=O)Cc1cc(c(N)c(F)c1)O[C@@H](C(F)(F)F)COCC)O,random_smiles,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,c1cc(C[NH2+][C@@H]2[C@@H](O)[C@H](Cc3cc(c(N)c(c3)F)O[C@@H](C(F)(F)F)COCC)CS(=O)(C2)=O)cc(C(C)(C)C)c1,random_smiles,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CCOC[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H]([NH2+]Cc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F,tautomer,O=S1(=O)C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,original,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,C(c1cccc(c1)C(F)(F)F)[NH2+]C[C@H]([C@H](Cc1ccccc1)NC(c1cc2c3n(CCS(N(C)c3c1)(=O)=O)cc2CC)=O)O,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,C(c1cc2c3n(cc2CC)CCS(=O)(N(C)c3c1)=O)(N[C@@H](Cc1ccccc1)[C@@H](C[NH2+]Cc1cccc(C(F)(F)F)c1)O)=O,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,c1cc(C(F)(F)F)cc(C[NH2+]C[C@H]([C@H](Cc2ccccc2)NC(=O)c2cc3N(C)S(CCn4c3c(c(CC)c4)c2)(=O)=O)O)c1,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,C(F)(F)(c1cc(C[NH2+]C[C@H]([C@@H](NC(c2cc3c(CC)cn4CCS(=O)(=O)N(C)c(c2)c43)=O)Cc2ccccc2)O)ccc1)F,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,N1(S(CCn2cc(c3c2c1cc(c3)C(=O)N[C@@H](Cc1ccccc1)[C@@H](C[NH2+]Cc1cccc(C(F)(F)F)c1)O)CC)(=O)=O)C,random_smiles,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,CCc1cn2c3c(cc(C(=O)N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,tautomer,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,CCc1cn2c3c(cc(C(O)=N[C@@H](Cc4ccccc4)[C@H](O)C[NH2+]Cc4cccc(C(F)(F)F)c4)cc13)N(C)S(=O)(=O)CC2,tautomer,O=C(N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,train
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,original,O=S1C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,O(c1cc(cc(F)c1N)C[C@H]1[C@H](O)[C@H](CS(C1)=O)[NH2+]Cc1cccc(C(C)(C)C)c1)C(C(F)(F)F)C(F)(F)F,random_smiles,O=S1C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,c1(C[C@@H]2CS(C[C@H]([NH2+]Cc3cc(C(C)(C)C)ccc3)[C@H]2O)=O)cc(OC(C(F)(F)F)C(F)(F)F)c(c(F)c1)N,random_smiles,O=S1C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,FC(F)(F)C(C(F)(F)F)Oc1c(c(F)cc(c1)C[C@@H]1CS(C[C@H]([NH2+]Cc2cccc(c2)C(C)(C)C)[C@H]1O)=O)N,random_smiles,O=S1C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,S1(=O)C[C@@H]([C@H]([C@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(c(c2)F)N)C1)O)[NH2+]Cc1cccc(c1)C(C)(C)C,random_smiles,O=S1C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,C(C(C(F)(F)F)Oc1cc(cc(c1N)F)C[C@@H]1CS(=O)C[C@H]([NH2+]Cc2cccc(C(C)(C)C)c2)[C@H]1O)(F)(F)F,random_smiles,O=S1C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,CC(C)(C)c1cccc(C[NH2+][C@H]2CS(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,tautomer,O=S1C[C@@H](Cc2ccccc2)C[C@@H]([NH2+]Cc2ccccc2)C1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,original,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,Fc1cc(cc(c1)C[C@@H]([C@@H](C[NH2+]Cc1cccc(CC)c1)O)NC([C@H](NC(=O)c1cnccc1)CS(CCCCC)(=O)=O)=O)F,random_smiles,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,c1ccc(CC)cc1C[NH2+]C[C@H]([C@@H](NC(=O)[C@H](NC(=O)c1cnccc1)CS(=O)(CCCCC)=O)Cc1cc(cc(F)c1)F)O,random_smiles,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,C(N[C@H](CS(=O)(CCCCC)=O)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cccc(CC)c1)Cc1cc(F)cc(c1)F)(c1cnccc1)=O,random_smiles,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,[C@H]([C@@H](NC([C@H](NC(c1cccnc1)=O)CS(=O)(=O)CCCCC)=O)Cc1cc(cc(c1)F)F)(C[NH2+]Cc1cccc(c1)CC)O,random_smiles,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,C([NH2+]Cc1cc(ccc1)CC)[C@@H](O)[C@@H](NC(=O)[C@H](NC(=O)c1cccnc1)CS(=O)(=O)CCCCC)Cc1cc(cc(F)c1)F,random_smiles,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,CCCCCS(=O)(=O)CC(N=C(O)c1cccnc1)=C(O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(CC)c1,tautomer,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,CCCCCS(=O)(=O)CC(N=C(O)c1cccnc1)C(O)=N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(CC)c1,tautomer,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,CCCCCS(=O)(=O)CC(N=C(O)c1cccnc1)C(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)C[NH2+]Cc1cccc(CC)c1,tautomer,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,train
